"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"172.60625","168.00625","","Rode Kruis kanaal RV4, Regio Hollands Midden","Leiden","DMR"
"172.60625","168.00625","","Rode Kruis kanaal RV4, Regio Zuid-Holland-Zuid","Dordrecht","DMR"
"172.60625","168.00625","","Rode Kruis kanaal RV4, Regio Zeeland","Middelburg","DMR"
"172.60625","168.00625","","Rode Kruis kanaal RV4, Regio Zuid-Limburg","Maastricht","DMR encrypted"
"172.63125","168.03125","","Rode Kruis kanaal RV5","Landelijk","DMR"
"172.64375","168.04375","","Rode Kruis kanaal RV6, Regio Midden- en West-Brabant","Tilburg","DMR encrypted"
"172.64375","168.04375","","Rode Kruis kanaal RV6, Regio Utrecht","Utrecht","DMR encrypted"
"172.64375","168.04375","","Rode Kruis kanaal RV6, Regio Haaglanden","Den Haag","DMR"
"172.64375","168.04375","","Rode Kruis kanaal RV6, Regio Noord- en Oost-Gelderland","Apeldoorn","DMR"
"172.64375","168.04375","","Rode Kruis kanaal RV6, Regio Noord en Midden Limburg","Limburg","DMR"
"172.64375","168.04375","","Rode Kruis kanaal RV6, Regio Kennemerland","Haarlem","DMR"
"172.64375","168.04375","","Rode Kruis kanaal RV6, Regio Limburg-Noord","Venlo","DMR encrypted"
"172.68125","168.08125","","Rode Kruis kanaal RV7, Regio Brabant-Noord","Den Bosch","DMR encrypted"
"172.68125","168.08125","","Rode Kruis kanaal RV7, Regio Noord-Holland Noord","Alkmaar","DMR encrypted"
"172.68125","168.08125","","Rode Kruis kanaal RV7, Regio Hollands Midden","Leiden","DMR encrypted"
"172.68125","168.08125","","Rode Kruis kanaal RV7, Regio Zuid-Holland-Zuid","Dordrecht","DMR"
"172.68125","168.08125","","Rode Kruis kanaal RV7, Regio Zeeland","Middelburg","DMR"
"172.68125","168.08125","","Rode Kruis kanaal RV7, Regio Zuid-Limburg","Maastricht","DMR encrypted"
"172.69375","168.09375","","Rode Kruis kanaal RV8, Regio Friesland","Leeuwarden","DMR"
"172.69375","168.09375","","Rode Kruis kanaal RV8, Regio Amsterdam-Amstelland","Amsterdam","DMR"
"172.69375","168.09375","","Rode Kruis kanaal RV8, Regio Brabant-Zuidoost","Eindhoven","DMR"
"172.69375","168.09375","","Rode Kruis kanaal RV8, Regio Flevoland","Almere","DMR"
"172.69375","168.09375","","Rode Kruis kanaal RV8, Regio Rotterdam-Rijnmond","Rotterdam","DMR"
"172.73125","168.13125","","Rode Kruis kanaal RV9, Regio Utrecht","Utrecht","DMR encrypted"
"172.73125","168.13125","","Rode Kruis kanaal RV9, Regio Midden- en West-Brabant","Regionaal","DMR encrypted"
"172.73125","168.13125","","Rode Kruis kanaal RV9, Regio Haaglanden","Den Haag","DMR"
"172.73125","168.13125","","Rode Kruis kanaal RV9, Regio Noord en Midden Limburg","Limburg","DMR"
"172.73125","168.13125","","Rode Kruis kanaal RV9, Regio Kennemerland","Haarlem","DMR"
"172.73125","168.13125","","Rode Kruis kanaal RV9, Regio Limburg-Noord","Venlo","DMR encrypted"
