"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"158.050000","","","DFDS Seaways / Felison Terminal","IJmuiden",""
"158.430000","","","Pelt en Hooikaas weg- en waterbouw","IJmuiden",""
"158.710000","","","Naberman en Van Dalfsen","Genemuiden",""
"160.47000","160.47000","","Gromes-Plender Meststoffen ","IJsselmuiden","Analoog"
"160.675000","156.07500","","Marifoon Kanaal 61 VTS Amsterdam sector Haven IJmuiden (tot 5 mijl uit kust)","IJmuiden","Analoog"
"160.750000","156.15000","","Marifoon Kanaal 03 Traffic Service Noordzeekanaal","IJmuiden",""
"160.950000","156.35000","","Marifoon Kanaal 07 VTS Amsterdam sector IJmuiden Aanloop (zone 5 tot 12 mijl uit kust)","IJmuiden","Analoog"
"161.075000","161.07500","","Loodswezen Regio Amsterdam-IJmond","IJmuiden","Analoog"
"161.55000","156.95000","","Marifoonkanaal 19, Loods Op Afstand","IJmuiden","Analoog"
"161.700000","157.10000","","Marifoon Kanaal 22 Sluis IJmuiden","IJmuiden",""
"161.750000","157.15000","","Marifoonkanaal 23 Kustwacht  (RMA Navigatie en Meteo)","IJmuiden",""
"163.570000","","","Gemeentewerken IJsselmuiden","IJsselmuiden",""
"164.250000","","","Van Muiden glashandel","Leiden",""
"164.410000","","","DFDS Seaways / Felison Terminal","IJmuiden",""
"164.99000","164.99000","","KNBRD kanaal 1, IJmuider Reddingsbrigade","IJmuiden","Analoog"
"165.870000","","","Transport- en aannemingsbedrijf Zuidam","IJmuiden",""
"170.650000","","","Seaport Marina","IJmuiden",""
"170.670000","","","TDS Geluidsinstallatieverhuur","IJmuiden",""
"423.60625","413.60625","","Tata Steel IJmuiden","IJmuiden","TETRA"
"425.13125","415.13125","","Tata Steel IJmuiden","IJmuiden","TETRA"
"425.15625","415.15625","","Tata Steel IJmuiden","IJmuiden","TETRA"
"425.30625","415.30625","","Tata Steel IJmuiden","IJmuiden","TETRA"
"425.58125","415.58125","","Tata Steel IJmuiden","IJmuiden","TETRA"
"425.73125","415.73125","","Tata Steel IJmuiden","IJmuiden","TETRA"
"425.80625","415.80625","","Tata Steel IJmuiden","IJmuiden","TETRA"
"426.08125","416.08125","","Tata Steel IJmuiden","IJmuiden","TETRA"
"426.33125","416.33125","","Tata Steel IJmuiden","IJmuiden","TETRA"
"426.43125","416.43125","","Tata Steel IJmuiden","IJmuiden","TETRA"
"426.93125","416.93125","","Tata Steel IJmuiden","IJmuiden","TETRA"
"427.05625","417.05625","","Tata Steel IJmuiden","IJmuiden","TETRA"
"427.10625","417.10625","","Tata Steel IJmuiden","IJmuiden","TETRA"
"438.312500","430.71250","","PI1YMD zendamateur relais DSTAR","IJmuiden",""
"442.5000","442.5000","","Havenkantoor Muiden","Muiden","DMR"
"444.13750","444.13750","","Vliegveld Midden Zeeland (Toren + Calamiteiten Organisatie Zeeland Airport)","Arnemuiden","Analoog"
"444.437500","","","Rijkswaterstaat DGPS zender","IJmuiden",""
"446.006250","","94,8","Kraanverhuur Jac van der Vegt en Zonen","IJsselmuiden",""
"446.006250","446.00625","","AGF Groothandel Postuma","IJsselmuiden",""
"446.09375","446.09375","110.9","Zeilschool Muiden","Muiden","Analoog"
"458.330000","","","Aannemings- en bestratingsbedrijf G van Dijk en Zn Midden Nederland B,V","Genemuiden",""
"458.510000","458.51000","88,5","Van Dijk Containers","Genemuiden",""
"461.03750","451.03750","","Onbekend bedrijf op of bij terrein Tata Steel IJmuiden","IJmuiden","DMR"
"467.290000","457.29000","67,0","Cebo Holland Offshore","IJmuiden",""
"468.21875","468.21875","C 67.0","Brandweer Gooi- en Vechtstreek, Manschappenportofoon kanaal 6 (TS 1431)","Muiden","Analoog"
